Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2006-2009,Monroe,Revisits,Housing condition,Food/harborage for cockroaches,Yes,1,0.4,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Clinton,Revisits,Housing condition,Functional smoke detector on every floor,Yes,513,98.7,10/27/2017,"(44.731944, -73.548883)"
2014-2019,NYC-Kings,Revisits,Housing condition,Improperly stored garbage near building,Unknown,4,12.9,10/27/2017,"(40.65642, -73.950691)"
2006-2009,Niagara,Initial visits,Housing condition,Effective housecleaning,Unknown,270,11.1,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Erie,Initial visits,Housing condition,Improperly stored garbage inside,No,2731,98.2,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Oneida,Initial visits,Housing information,Owner occupied,No,1,0.2,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Oneida,Revisits,Housing condition,Smoker in home,No,82,38.7,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Onondaga,Initial visits,Housing condition,Working carbon monoxide detector,No,1430,48.5,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Albany,Revisits,Housing condition,Smoking allowed in home,Yes,19,41.3,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Westchester,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,7,6.5,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Rockland,Initial visits,Housing condition,Exits function properly,Unknown,6,0.3,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Clinton,Revisits,Housing condition,Chemical smell indoors,Unknown,2,0.4,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Orange,Revisits,Housing condition,Smoking limited to certain rooms,Yes,15,13.8,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,17176,63.2,10/27/2017,
2009-2014,Orange,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",No,65,14.2,10/27/2017,"(41.422459, -74.241929)"
2009-2014,All counties,Revisits,Housing condition,Humidifier or vaporizer used,Improved,3,0,10/27/2017,
2009-2014,All counties,Revisits,Housing condition,"Cockroaches, evidence or reported",No,5803,93.9,10/27/2017,
2006-2009,Orange,Revisits,Housing condition,Effective housecleaning,No,16,6.8,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Initial visits,Respondent demographics,Race: White,White,15963,58.8,10/27/2017,
2014-2019,Cayuga,Revisits,Housing condition,Roofing or structural leaks,Unknown,53,31.9,10/27/2017,"(42.940095, -76.560755)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Significant clutter,Yes,16,19.5,10/27/2017,"(40.85589, -73.868294)"
2009-2014,Albany,Initial visits,Housing condition,Improperly stored garbage near building,No,10,43.5,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Broome,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,644,63.1,10/27/2017,"(42.122015, -75.933191)"
2006-2009,Orange,Revisits,Housing condition,Deteriorated paint outside,No,59,49.6,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Initial visits,Housing condition,Smoker in home,Yes,8378,30.8,10/27/2017,
2014-2019,Cayuga,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,989,83.8,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Rensselaer,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,9,1.7,10/27/2017,"(42.70098, -73.628669)"
2014-2019,All counties,Initial visits,Respondent demographics,Race: Black,Black/African American,9316,34.3,10/27/2017,
2014-2019,Rockland,Initial visits,Respondent demographics,Hispanic ethnicity,No,1088,85,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Erie,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,190,,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Schenectady,Initial visits,Housing condition,Functional smoke detector on every floor,Yes,918,70.1,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Monroe,Initial visits,Housing condition,"Rats, evidence or reported",No,2396,91.5,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Niagara,Initial visits,Housing condition,Functional smoke detector on every floor,No,1824,53.2,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Rockland,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,36,2.8,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Tompkins,Revisits,Housing condition,Residents practice exit drills,Improved,171,34.8,10/27/2017,"(42.461024, -76.478784)"
2009-2014,All counties,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,2188,9,10/27/2017,
2009-2014,Albany,Initial visits,Housing condition,Roofing or structural leaks,No,11,47.8,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Westchester,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Yes,1,3.8,10/27/2017,"(41.039278, -73.805386)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,Deteriorated paint inside,Yes,19,67.9,10/27/2017,"(40.85589, -73.868294)"
2006-2009,Rockland,Revisits,Housing condition,Exits function properly,Yes,71,91,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Rockland,Initial visits,Housing condition,Functional smoke detectors in common areas,Unknown,4,0.3,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Rockland,Initial visits,Housing information,Units in building,4 units,66,7.6,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Albany,Initial visits,Housing condition,Functional smoke detectors in common areas,No,281,40,10/27/2017,"(42.678066, -73.814233)"
2006-2009,All counties,Revisits,Housing condition,Functional fire extinguisher,No,1491,45,10/27/2017,
2009-2014,Rockland,Revisits,Housing condition,Functional smoke detector on every floor,Yes,154,61.6,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Cayuga,Initial visits,Housing condition,Significant clutter,Unknown,31,2.6,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Clinton,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,41,2,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Orange,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Improved,2,0.4,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Oneida,Initial visits,Housing condition,Effective housecleaning,Yes,611,80.2,10/27/2017,"(43.149482, -75.361773)"
2009-2014,All counties,Initial visits,Respondent demographics,Race: Black,Black/African American,9420,38.9,10/27/2017,
2006-2009,Albany,Revisits,Housing condition,Significant clutter,Improved,1,0.5,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Westchester,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,110,5.4,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Monroe,Initial visits,Housing condition,Exits function properly,No,23,2.3,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Broome,Initial visits,Housing condition,Furnace filter dirty or missing,No,493,48.3,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Orange,Initial visits,Housing condition,Furnace filter dirty or missing,No,1056,39.2,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Tompkins,Revisits,Housing condition,Significant clutter,Yes,42,8.5,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Onondaga,Initial visits,Housing condition,Roofing or structural leaks,No,2709,95.2,10/27/2017,"(43.065629, -76.168033)"
2009-2014,All counties,Revisits,Housing condition,Improperly stored garbage near building,Unknown,60,1,10/27/2017,
2014-2019,Westchester,Initial visits,Housing condition,Smell of scented products,No,168,90.8,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Niagara,Revisits,Housing condition,Effective housecleaning,Yes,505,80.3,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Erie,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,8,0.2,10/27/2017,"(42.888143, -78.795544)"
2014-2019,All counties,Initial visits,Housing information,Owner occupied,No,98,1,10/27/2017,
2014-2019,Rensselaer,Revisits,Housing condition,Effective housecleaning,Improved,13,5.2,10/27/2017,"(42.70098, -73.628669)"
2014-2019,NYC-Queens,Revisits,Housing condition,Smoking allowed in home,Yes,1,100,10/27/2017,"(40.749338, -73.789673)"
2014-2019,NYC-Manhattan,Revisits,Housing condition,Functional smoke detector on every floor,Yes,14,87.5,10/27/2017,"(40.726966, -74.005966)"
2009-2014,Clinton,Revisits,Housing condition,"Mice, evidence or reported",Unknown,4,0.8,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Orange,Initial visits,Housing condition,Smoker in home,Yes,719,26.7,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Broome,Revisits,Housing condition,Significant clutter,Improved,10,4.5,10/27/2017,"(42.122015, -75.933191)"
2006-2009,All counties,Initial visits,Housing condition,Smoking allowed in home,Not applicable,9152,,10/27/2017,
2014-2019,Rockland,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,13,1,10/27/2017,"(41.127287, -74.017033)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Every room has ventilation,Yes,77,93.9,10/27/2017,"(40.85589, -73.868294)"
2014-2019,NYC-Queens,Initial visits,Respondent demographics,Receives public assistance,Unknown,3,30,10/27/2017,"(40.749338, -73.789673)"
2014-2019,Monroe,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,1399,74.3,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Albany,Initial visits,Housing information,Age of building,Pre-1950,17,73.9,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Westchester,Initial visits,Housing condition,"Mice, evidence or reported",Unknown,1,0.5,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Erie,Initial visits,Housing condition,Significant dust accumulation,Yes,315,11.3,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Columbia,Initial visits,Housing condition,Improperly stored garbage near building,No,348,89.2,10/27/2017,"(42.276913, -73.682168)"
2014-2019,Schenectady,Initial visits,Housing condition,Smell of scented products,No,1058,80.8,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Clinton,Initial visits,Housing condition,Electrical hazards,Yes,156,7.6,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Erie,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,3,0.1,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Clinton,Initial visits,Housing information,Units in building,5 units,30,1.5,10/27/2017,"(44.731944, -73.548883)"
2006-2009,All counties,Revisits,Housing condition,"Rats, evidence or reported",Unknown,62,1.9,10/27/2017,
2014-2019,Albany,Revisits,Housing condition,Improperly stored garbage inside,Yes,8,3.4,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Niagara,Initial visits,Housing information,Owner occupied,No,5,0.4,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Rockland,Initial visits,Housing condition,"Cockroaches, evidence or reported",Yes,68,5.3,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Tompkins,Revisits,Housing condition,Humidifier or vaporizer used,Unknown,56,11.4,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Monroe,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,3,0.1,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Niagara,Revisits,Housing condition,"Rats, evidence or reported",No,629,100,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Clinton,Revisits,Housing condition,Significant dust accumulation,Unknown,12,6,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Niagara,Initial visits,Respondent demographics,Race: Black,Black/African American,859,35.2,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Westchester,Revisits,Housing condition,Smoker in home,Yes,8,30.8,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Rensselaer,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,No,234,92.9,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Cortland,Revisits,Housing condition,Smoker in home,Improved,1,0.4,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Albany,Revisits,Housing condition,"Mice, evidence or reported",Yes,29,14.4,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Schenectady,Revisits,Housing condition,Furnace filter dirty or missing,Yes,2,1.1,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Columbia,Revisits,Housing condition,"Mice, evidence or reported",No,58,84.1,10/27/2017,"(42.276913, -73.682168)"
2014-2019,NYC-Queens,Initial visits,Respondent demographics,Hispanic ethnicity,No,4,40,10/27/2017,"(40.749338, -73.789673)"
2014-2019,All counties,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,23813,87.7,10/27/2017,
2014-2019,Rockland,Initial visits,Housing condition,Residents practice exit drills,Yes,1163,90.9,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Oneida,Initial visits,Housing information,Renter/owner,Own,427,39.3,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Tompkins,Revisits,Housing condition,Smoking limited to certain rooms,Unknown,25,20.5,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Tioga,Initial visits,Housing condition,Functional smoke detectors in common areas,No,261,30.3,10/27/2017,"(42.120252, -76.29595)"
2009-2014,Tompkins,Initial visits,Housing condition,"Rats, evidence or reported",Unknown,10,0.6,10/27/2017,"(42.461024, -76.478784)"
2014-2019,NYC-Manhattan,Initial visits,Housing condition,Improperly stored garbage inside,Yes,23,52.3,10/27/2017,"(40.726966, -74.005966)"
2006-2009,Albany,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,30,4.3,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Cayuga,Initial visits,Housing information,Age of building,1950-1978,162,13.7,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Rockland,Initial visits,Housing condition,Residents practice exit drills,No,293,16.2,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Erie,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,420,,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Clinton,Initial visits,Housing condition,Every room has ventilation,Yes,1975,95.6,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Niagara,Initial visits,Housing condition,Residents practice exit drills,No,252,19.3,10/27/2017,"(43.134634, -78.856419)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,"Mice, evidence or reported",Yes,124,56.9,10/27/2017,"(40.85589, -73.868294)"
2006-2009,Oneida,Initial visits,Housing condition,Food/harborage for cockroaches,No,689,90.4,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Monroe,Initial visits,Housing condition,Significant clutter,Yes,78,4.1,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Niagara,Initial visits,Housing information,Units in building,2 units,670,19.5,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Niagara,Initial visits,Housing condition,Electrical hazards,Yes,358,14.7,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Onondaga,Revisits,Housing condition,"Mice, evidence or reported",Improved,1,0.1,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Onondaga,Initial visits,Housing condition,Every room has ventilation,No,80,2.7,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Onondaga,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,2608,88.5,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Albany,Initial visits,Housing condition,Working carbon monoxide detector,Unknown,9,1.3,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Niagara,Initial visits,Housing condition,Functional fire extinguisher,Yes,479,14,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Albany,Revisits,Housing condition,"Mice, evidence or reported",Unknown,24,10.3,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Rockland,Initial visits,Housing condition,Humidifier or vaporizer used,No,1673,92.5,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Cortland,Initial visits,Respondent demographics,Race: Asian,Asian,1,0.1,10/27/2017,"(42.597101, -76.143291)"
2014-2019,NYC-Queens,Revisits,Housing condition,Improperly stored flammables,No,3,75,10/27/2017,"(40.749338, -73.789673)"
2009-2014,Schenectady,Revisits,Housing condition,Significant dust accumulation,Improved,1,0.5,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Rensselaer,Revisits,Housing condition,Exits function properly,Unknown,3,1.2,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Westchester,Initial visits,Housing condition,Improperly stored flammables,No,2013,98.4,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Niagara,Revisits,Housing condition,"Cockroaches, evidence or reported",Yes,7,1.1,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Rockland,Revisits,Housing condition,Deteriorated paint inside,Not applicable,122,,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Schenectady,Initial visits,Respondent demographics,Race: Unknown,Unknown,5,0.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Rockland,Revisits,Housing condition,Functional smoke detectors in common areas,No,84,85.7,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Niagara,Initial visits,Housing condition,Smoking limited to certain rooms,Not applicable,2033,,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Oneida,Initial visits,Housing condition,Smoker in home,Yes,413,54.2,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Clinton,Revisits,Housing condition,Exits function properly,No,1,0.5,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Schenectady,Initial visits,Housing condition,Improperly stored garbage near building,No,1143,87.3,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Rensselaer,Initial visits,Housing information,Renter/owner,"Rent, public",43,8.1,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Monroe,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",No,25,10.8,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Tioga,Revisits,Housing condition,Improperly stored garbage inside,Yes,2,3.9,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Erie,Revisits,Housing condition,Significant clutter,Yes,10,1.2,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Broome,Revisits,Housing condition,Significant dust accumulation,Yes,1,0.5,10/27/2017,"(42.122015, -75.933191)"
